permno,date,year,exchcd,siccd,retadj,eretadj,altprc_lag1,ME_lag1,ME_Jun,BM
83939,20121231,2012,3,5990,-0.027054053,-0.027154053,9.9799995422,422.26376063,408.7532523,0.7788537728
83950,20121231,2012,3,8730,-0.042567592,-0.042667592,11.840000153,706.2560091,930.8614651,0.2165096298
83956,20121231,2012,3,7371,-0.024456562,-0.024556562,3.6800000668,11.772320214,14.02447561,0.8678104308
83961,20121231,2012,3,3690,0.0250591338,0.0249591338,21.149999619,594.01888929,540.39471871,0.7360760831
83969,20121231,2012,3,5088,-0.001395639,-0.001495639,14.329999924,127.02111932,115.20431715,2.6327866713
83976,20121231,2012,1,5651,0.0453258194,0.0452258194,45.88999939,3789.2749196,2818.3593696,0.4583481032
83989,20121231,2012,1,4833,0.0476191193,0.0475191193,2.0999999046,119.11693489,83.306076635,3.0647675546
84007,20121231,2012,1,6162,-0.035415515,-0.035515515,35.86000061,4841.2793824,2532.4267526,0.7357275949
84010,20121231,2012,1,2833,-0.202277094,-0.202377094,41.279998779,595.50526239,610.96094413,0.4046747752
84026,20121231,2012,1,7948,0.0242424738,0.0241424738,1.6499999762,30.323699562,24.075178948,3.1392733624
84032,20121231,2012,1,3533,0.0026353647,0.0025353647,68.300003052,29157.612803,27465.231201,0.6756755663
84041,20121231,2012,1,3721,-0.004724852,-0.004824852,65.61000061,3280.6968605,2809.4485829,0.5699311004
84042,20121231,2012,1,5511,0.0329557508,0.0328557508,29.129999161,2629.4193742,1918.4392593,0.779368722
84052,20121231,2012,3,2830,0.0488721319,0.0487721319,2.6600000858,165.82972535,369.31445931,0.0976635925
84060,20121231,2012,3,2830,0.035459213,0.035359213,40.61000061,2615.4058693,2416.8004003,0.3799742875
84062,20121231,2012,3,5810,-0.040536582,-0.040636582,34.290000916,960.90869566,1062.898,0.2898695283
84084,20121231,2012,3,5941,-0.019352455,-0.019452455,53.740001678,1387.1906633,1515.233736,0.1673665103
84103,20121231,2012,1,8742,0.0720461085,0.0719461085,10.409999847,532.52354219,655.3208178,0.9498484472
84129,20121231,2012,3,6020,0.0662680566,0.0661680566,20.069999695,3696.5326838,3575.571574,1.5370852472
84168,20121231,2012,1,5045,0.0444444008,0.0443444008,16.200000763,2432.4463146,2661.3272854,1.1728852154
84172,20121231,2012,1,5122,-0.183920756,-0.184020756,45.400001526,2664.6622896,2959.8590963,0.1938676534
84176,20121231,2012,1,2711,0.061886061,0.061786061,10.180000305,437.99451313,416.84334511,1.5012697694
84184,20121231,2012,3,7372,0.1158798784,0.1157798784,3.6115000248,91.486518628,29.867070635,0.3584021181
84185,20121231,2012,2,2339,0,-0.0001,2.0499999523,30.282599296,22.813469366,1.7943442939
84203,20121231,2012,3,5810,0.0563218147,0.0562218147,8.6999998093,65.310898568,81.294851403,0.447443433
84210,20121231,2012,3,7389,-0.038200676,-0.038300676,28.010000229,624.4829551,762.86581375,0.3883459612
84215,20121231,2012,3,6030,0.1775362343,0.1774362343,-2.75999999,16.532399943,14.974401615,3.9836401126
84226,20121231,2012,3,7940,0.03054047,0.03044047,26.829999924,699.78005801,689.45030804,2.2818178583
84234,20121231,2012,3,6159,0.0840752125,0.0839752125,40.439998627,326.7551889,260.7086377,0.9543593647
84255,20121231,2012,3,3660,0.045405414,0.045305414,9.25,296.97125,270.09212498,0.9400123818
